episode,scene,texts,gold_standard
Episode 102: The One With The Sonogram At the End," Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's
Company.","[['Chandler', ""Now, Monica, you know that's not how you look for an engagement ring\nin a lasagne...""], ['Monica', ""(puts down the lasagne) I just... can't do it.""], ['Chandler', ""Boys? We're going in.""]]",0
Episode 102: The One With The Sonogram At the End," Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's
Company.","[['Monica', ""What does she mean by 'involved'?""], ['Chandler', 'I mean presumably, the biggest part of your job is done.']]",0
Episode 102: The One With The Sonogram At the End," Central Park, everyone's there.","[['Monica', ""Chandler, you're an only child, right? You don't have any of this.""], ['Chandler', 'Well, no, although I did have an imaginary friend, who... my parents\nactually preferred.']]",0
Episode 112: The One With The Dozen Lasagnas," Central Perk, everyone but Phoebe is there.","[['Chandler', 'Fine. (Joey and Chandler walk towards the door)'], ['Monica', 'Phoebe, what is it?']]",0
Episode 112: The One With The Dozen Lasagnas," Chandler and Joey's, Monica is busy killing Chandle and Joey at foosball.","[['Chandler', 'Yeah, get out!'], ['Monica', ""You guys are always hanging out in my apartment! Come on, I'll only use\nmy left hand, huh? Come on, wussies! (Joey and Chandler pick her up) All right, ok, I\ngotta go. I'm going, (they throw her out) and I'm gone.""], ['Chandler', '(to Joey) One more game?']]",0
Episode 119: The One Where The Monkey Gets Away," Central Perk, Monica, Joey, Phoebe, and Chandler are looking through Monica's
high school yearbook","[['Monica', ""That's because I'm in front of them.""], ['Chandler', 'Eh. I thought that was an alp.'], ['Monica', 'Well, high school was not my favourite time.']]",0
Episode 119: The One Where The Monkey Gets Away," Central Perk, Monica, Joey, Phoebe, and Chandler are looking through Monica's
high school yearbook","[['Chandler', ""Yeah, well I went to boarding school with four hundred boys. Any sex I\nhad would've involved a major lifestyle choice.""], ['Monica', ""Gosh, doesn't it seem like a million years ago?""]]",0
Episode 202: The One With The Breast Milk," Central Perk, the gang is all there.","[['Monica', ""It's gonna be a problem, isn't it?""], ['Chandler', ""Come on, you're going to Bloomingdale's with Julie? That's\nlike cheating on Rachel in her house of worship.""], ['Monica', ""But I'm...""]]",0
Episode 203: The One Where Heckles Dies," Monica and Rachel’s, everyone except Chandler is playing poker.","[['Monica', 'So how was Joan?'], ['Chandler', 'I broke up with her.']]",0
Episode 203: The One Where Heckles Dies," Monica and Rachel’s, everyone except Chandler is playing poker.","[['Chandler', ""I'm tellin' you, she leaned back; I could see her brain.""], ['Monica', 'How many perfectly fine women are you gonna reject over the most\nsuperficial insignificant things?']]",0
Episode 203: The One Where Heckles Dies," Monica and Rachel’s, Rachel is reading and admiring her new lamp.","[['Monica', ""Chandler, you're not gonna die alone.""], ['Chandler', 'Janice was my safety net, ok? And now I have to get a snake.']]",0
Episode 203: The One Where Heckles Dies," Monica and Rachel’s, Rachel is reading and admiring her new lamp.","[['Chandler', 'If I\'m gonna be an old, lonely man, I\'m gonna need a thing, you know,\na hook, like that guy on the subway who eats his own face. So I figure I\'ll be Crazy Man\nwith a Snake, y’know. Crazy Snake Man. And I\'ll get more snakes, call them my babies,\nkids will walk past my place, they will run. ""Run away from Crazy Snake Man,""\nthey\'ll shout!'], ['Monica', ""You have got to get over this. You're not gonna end up alone.""], ['Chandler', ""Of course I am. I reject anyone who's crazy enough to actually go out\nwith me, and then I bitch about the fact that there aren't any great women out there.""]]",0
Episode 203: The One Where Heckles Dies," Monica and Rachel’s, Rachel is reading and admiring her new lamp.","[['Monica', 'Wait a minute, wait a minute. Yes he is. You are totally different.'], ['Chandler', 'In a bad way?'], ['Monica', ""No, honey, in a wonderful way. You know what you want now. Most guys\ndon't even have a clue. You are ready to take risks, you are ready to be vulnerable, and\nintimate with someone.""]]",1
Episode 203: The One Where Heckles Dies," Mr. Heckles’ Apartment, everyone is finishing cleaning up the apartment as
Monica walks up to Rachel carrying the girlie clock.","[['Monica', ""That's fine.""], ['Chandler', ""Hey. Well, you will all be pleased to know that I have a date tomorrow\nnight. This woman Alison, from work, she's great. She's pretty. She's smart. And uh, I've\nbeen holding off on asking her out in the past, because she has an unusually large head.\nBut, I'm not gonna let that stuff hang me up anymore. Look at me. I'm growing.""]]",0
Episode 203: The One Where Heckles Dies," Mr. Heckles’ Apartment, everyone is finishing cleaning up the apartment as
Monica walks up to Rachel carrying the girlie clock.","[['Chandler', 'Yeah, yeah. Some people said some nice things about him. I think\nsomebody should have it.'], ['Monica', ""Oh, gosh, this is so weird. I mean, his whole life was in this\napartment, and now it's gone. You know, I think it would be nice if we just took a few\nmoments, for Mr. Heckles. I mean, he was kind of a pain, he was, but he was a person. (She\nends up standing behind the magnifying glass and everyone is laughing.) (Realizes.)You're\nall going to hell.""]]",0
Episode 206: The One With The Baby On the Bus," Monica and Rachel's, Monica, Chandler, Joey, Ross and Ben are
there.  Ben is sitting in his little rocking seat.","[['Monica', ""There's my little boy. (Ben starts crying again)""], ['Chandler', 'Can I uh see something? (Takes Ben. When he puts him close to Monica,\nBen cries. When he moves Ben away, he stops crying. He does that a couple times.)']]",0
Episode 206: The One With The Baby On the Bus," Monica and Rachel's, Monica, Chandler, Joey, Ross and Ben are
there.  Ben is sitting in his little rocking seat.","[['Monica', 'What if my own baby hates me? Huh? What am I gonna do then?'], ['Chandler', ""Monica, will you stop? This is nuts. Do you know how long it's gonna\nbe before you actually have to deal with this problem? I mean, you don't even have a\nboyfriend yet. (Monica glares at him.) Joey, she does not look fat.""]]",-1
Episode 206: The One With The Baby On the Bus," Monica and Rachel's, continued from earlier. Chandler has a basketball.","[['Monica', '(to Chandler) Here you go. (Sets a drink down in front of him.)'], ['Chandler', 'Oh hey Monica. (He holds the basketball in front of Monica.)']]",0
Episode 206: The One With The Baby On the Bus," Monica and Rachel's, Monica and Ross are sitting on the couch.","[['Monica', ""Aw, my little nephew. Come here, little one. There's my little baby Ben.\nHey, my little boy. (She picks him up.) Hey, he's not crying.""], ['Chandler', ""(looking fearfully at Joey) Hey, he's not crying.""]]",0
Episode 207: The One Where Ross Finds Out," Monica and Rachel's apartment. Everyone is sitting at the couches,
Chandler enters.","[['Monica', ""Chandler, I'm unemployed and in dire need of a project. Ya wanna work out? I\ncan remake you.""], ['Chandler', 'Oh, you know, I would, but that might get in the way of my lying around time.'], ['Monica', 'Please.']]",0
Episode 207: The One Where Ross Finds Out," The Hallway, Chandler comes out wearing spandex, jogging in place. Monica is
there.","[['Chandler', ""Okay, let's do it. (Monica looks at him funny) What?""], ['Monica', 'Nothing, just never seen you in little stretchy pants before.'], ['Chandler', ""And we're changing. (jogs back in his apartment)""]]",1
Episode 207: The One Where Ross Finds Out," Central Perk, Chandler and Joey are sitting on the couch. Rachel is working.","[['Monica', ""C'mon give me five more. Five more.""], ['Chandler', '(weakly) No.'], ['Monica', ""Five more and I'll flash you.""], ['Chandler', 'One. . . two. . . two and a half. Okay, just show me one of them.']]",0
Episode 207: The One Where Ross Finds Out," Central Perk, Chandler and Joey are sitting on the couch. Rachel is working.","[['Monica', '(to Chandler) Yo, Bing. Racquetball in 15 minutes.'], ['Chandler', 'Joey, be a pal. Lift up my hand and smack her with it.']]",0
Episode 207: The One Where Ross Finds Out," Rachel and Monica's, Rachel is taking aspirin.","[['Chandler', ""No, no, no, no, no, no (opens door to Monica) No. Monica, it's Sunday\nmorning. I'm not running on a Sunday.""], ['Monica', 'Why not?'], ['Chandler', ""Because it's Sunday. It's God's day.""], ['Monica', 'Okay, if you say stop, then we stop.'], ['Chandler', 'Okay, stop.'], ['Monica', ""No, c'mon, we can't stop, c'mon, we've got three more pounds to go. I am the\nenergy train and you are on board. Woo-woo, woo-woo, woo-woo (Chandler walks out of the\napartment, leaving Monica) Woo.""]]",-1
Episode 207: The One Where Ross Finds Out," Chandler and Joey's, Chandler answers the door to find Monica.","[['Chandler', ""Monica, it's 6:30 in the morning. We're not working out, it's over.""], ['Monica', ""No way, with one pound to go, c'mon. We're workin', we're movin', we're in the\nzone we're groovin'.""], ['Chandler', ""Okay, I don't, I don't mind the last pound. Okay, in fact I kind of like the\nlast pound. Okay, so don't make me do anything that I'll regret.""], ['Monica', ""Ooh, what'cha gonna do, fat boy, huh? What?""], ['Chandler', ""Nothing, except tell you, uh, I think it's wonderful how much energy you\nhave.""], ['Monica', 'Well, thanks.'], ['Chandler', ""I mean, especially considering how tough it's been for you to find work.""], ['Monica', 'Well, you know.'], ['Chandler', ""You know, I mean, you can't tell your parents you were fired because they'd\nbe disappointed.""], ['Monica', '(sad) Uh-huh.'], ['Chandler', ""And it's not as if you have a boyfriend's shoulder to cry on.""], ['Monica', 'Well no, but um.'], ['Chandler', ""I mean, if it were me, I think I'd have difficulty just getting out of bed at\nall.""], ['Monica', ""Y'know, I try to stay positive. . .""], ['Chandler', ""So, you feel like goin' for a run?""], ['Monica', 'All right.'], ['Chandler', ""Because, you know, you don't have to. If you want, you could just take a nap\nright here.""], ['Monica', 'Okay. Just for a little while.'], ['Chandler', 'Okay. (Puts an afghan over her and dances into his room)']]",-1
Episode 316: The One The Morning After," Monica’s Bedroom, Monica and Phoebe are removing the rest of their wax
strips.","[['Monica', 'We were just waxing our legs.'], ['Chandler', 'Off?!!']]",0
Episode 316: The One The Morning After," Monica’s Bedroom, Monica and Phoebe are removing the rest of their wax
strips.","[['Monica', 'What?'], ['Chandler', 'Nothing, nothing.'], ['Monica', '(going over to listen at the door) Rachel said everything was okay.']]",0
Episode 316: The One The Morning After," Monica’s Bedroom, Monica and Phoebe are removing the rest of their wax
strips.","[['Chandler', 'Yeah, well, I guess they had a fight, and he got drunk....'], ['Monica', 'Oh!! (hits Chandler and Joey in the head) You guys knew about this and\nyou didn’t tell us?!'], ['Chandler', '(to Joey) He has sex, and we get hit in our heads.']]",-1
Episode 316: The One The Morning After," Monica’s Bedroom, Monica and Phoebe are removing the rest of their wax
strips.","[['Chandler', 'Yeah, come on, it’s Ross and Rachel, they’ve got too.'], ['Monica', 'What if they don’t?']]",0
Episode 317: The One Without The SkiTrip," Central Perk, Chandler and Joey are sitting on the couch reading.","[['Monica', 'Guys. I thought you were taking Ross to the game?'], ['Chandler', 'We are. He’s meeting us here.'], ['Monica', 'No! Rachel is meeting us here.']]",0
Episode 317: The One Without The SkiTrip," Chandler and Joey's, the whole gang is there, except for Ross and Rachel. Joey
is trying to eat Chinese with chopsticks and fails miserably. There’s a knock on the
door, and Chandler answers it to reveal Rachel","[['Monica', 'Chandler!!'], ['Chandler', '(jumps back and points at the cigarette) Oh my God!']]",-1
Episode 317: The One Without The SkiTrip," Chandler and Joey's, the whole gang is there, except for Ross and Rachel. Joey
is trying to eat Chinese with chopsticks and fails miserably. There’s a knock on the
door, and Chandler answers it to reveal Rachel","[['Chandler', 'Look, I’m telling you this is just like my parents divorce, which\nis when I started smoking in the first place.'], ['Monica', 'Weren’t you nine?!'], ['Chandler', 'Yeahhh. I’m tellin’ ya something, that ah, first smoke after\nnap time....']]",0
Episode 317: The One Without The SkiTrip," In Phoebe’s Grandmother’s cab, driving up to the cabin. Phoebe’s
driving, Rachel’s sitting shotgun, Chandler, Monica, and Joey are in the back seat.","[['Monica', 'Why? Do you think he’s still mad at us?'], ['Chandler', '(to Joey) Well he’s probably mad after you called him this\nmorning to borrow his goggles.']]",0
Episode 317: The One Without The SkiTrip," In Phoebe’s Grandmother’s cab, driving up to the cabin. Phoebe’s
driving, Rachel’s sitting shotgun, Chandler, Monica, and Joey are in the back seat.","[['Monica', 'No Chandler no! No unscheduled stops. You can go when we stop for gas.'], ['Chandler', 'Oh, come on, there’s a rest stop right up there! Come on, I\nreally have to goooooooooo.']]",-1
Episode 317: The One Without The SkiTrip," The rest stop, Phoebe’s pulling in.","[['Chandler', 'Here we go. Okay, brace yourselves.'], ['Monica', 'What?']]",0
Episode 317: The One Without The SkiTrip," The rest stop, the gang is still stuck, Chandler is kneeling at the rear
bumper.","[['Chandler', 'Oh I do! Op, no, wait a minute, I took it out of my shirt when I put\nit on this morning.'], ['Monica', 'So, if you’re parents hadn’t got divorced, you’d be able\nto answer a question like a normal person?']]",0
Episode 317: The One Without The SkiTrip," The rest stop, the gang is still stuck, Chandler is kneeling at the rear
bumper.","[['Monica', 'Chandler!!'], ['Chandler', 'At least let me smoke it to the good part.']]",-1
Episode 317: The One Without The SkiTrip," Carol and Susan’s, Ross is eating the dinner Carol made for Susan.","[['Chandler', 'I have the lung capacity of a two year old. (starts to light another\ncigarette.)'], ['Monica', 'Then why are you smoking?'], ['Chandler', 'Well it’s very unsettling.']]",0
Episode 318: The One With The HypnosisTape," Monica and Rachel's, Rachel and Monica are entering.","[['Chandler', '(entering, carrying a briefcase) Hi.'], ['Monica', 'Hey.'], ['Chandler', ""Y'know, I forgot the combination to this about a year ago? I just\ncarry it around. Do you have any Chap Stick?""], ['Monica', 'Uh, yeah.']]",0
Episode 318: The One With The HypnosisTape," Monica and Rachel's, Rachel and Monica are entering.","[['Monica', 'Here you go.'], ['Chandler', 'Thanks']]",0
Episode 318: The One With The HypnosisTape," Monica and Rachel's, Rachel and Monica are entering.","[['Chandler', 'What check thing?'], ['Monica', 'As a joke, this customer at work who has a crush on me gave me a $20,000\ntip. His number is on the check, he just did so I’d call him.'], ['Chandler', '(reading the check) Pete Becker. Pete… (quickly grabs a magazine\nand opens it up to show her a picture) (pointing to the picture) Is this him?'], ['Monica', 'That’s Bill Clinton.'], ['Chandler', 'Who’s he huggin’?'], ['Monica', 'Oh my God! That’s Pete! But why is Bill huggin’ Pete?'], ['Chandler', 'This guy invented Moss 865! Every office in the world uses that\nprogram!']]",0
Episode 318: The One With The HypnosisTape," Monica and Rachel's, Rachel is getting Monica ready for her date. The guys are
also there. The door buzzes.","[['Chandler', '(in a feminine way) Oh my God! (and he jumps all around)'], ['Monica', 'Guys, please, I’m just gonna have dinner with him. Okay?'], ['Chandler', 'Okay, okay, just because he buys you dinner, does not mean you owe him\nanything.'], ['Monica', 'I know!!'], ['Chandler', 'Okay, then get the lobster!'], ['Monica', '(opening the door) (to Pete) Hey!']]",0
Episode 319: The One With The TinyT-Shirt," The hallway between the two apartments, Pete and Monica are returning from
their date.","[['Chandler', 'Mr. Millionaire, new from Snooty Playthings! Third wife sold\nseparately.'], ['Monica', 'He’s great! I mean we have such a good time together! He’s so\nfunny, and sooo sweet, and I’m not attracted to him at all!!']]",0
Episode 319: The One With The TinyT-Shirt," The hallway between the two apartments, Pete and Monica are returning from
their date.","[['Monica', 'Noo!! It’s driving me crazy. I mean every other way he’s like\nthe perfect guy, he has everything. Plus! He actually has everything.'], ['Chandler', 'Life-sized Imperial Storm Troopers from Sharper Image?'], ['Monica', 'Two.'], ['Chandler', 'Wow!! Can Joey and I put them on and fight?']]",0
Episode 320: The One With TheDollhouse," Monica and Rachel's, Chandler, Monica, Phoebe, and Joey are there.","[['Monica', ""Any time you want. Y'know, when I was younger, all I wanted to do was to\nplay with this dollhouse, but no!! It was to be looked at, but never played with.""], ['Chandler', 'My Grandmother used to say that exact same thing to me.']]",0
Episode 320: The One With TheDollhouse," Monica and Rachel's, Ross and Monica are eating breakfast as Joey enters, very
happily.","[['Chandler', ""To her face? Look it’s the end of the date, I’m standing\nthere, I know all she’s waiting for is for me to say ‘I’ll call her’\nand it’s just y'know, comes out. I can’t help it, it’s a compulsion.""], ['Monica', 'Come on Rach, when a guy says he’s going to call, it doesn’t\nmean he’s going to call. Hasn’t it ever happened to you?']]",0
Episode 322: The One With The Screamer," Monica and Rachel's, Phoebe is on the phone, Chandler and Monica are sitting in
the living room, and Ross is in the kitchen as Rachel enters from her bedroom.","[['Monica', 'Really? Who’s number two?'], ['Chandler', 'Who’s number two? One of the more difficult games sewer workers\nplay.']]",0
Episode 322: The One With The Screamer," Monica and Rachel's, Phoebe is on the phone, Chandler and Monica are sitting in
the living room, and Ross is in the kitchen as Rachel enters from her bedroom.","[['Chandler', 'Bye!'], ['Monica', 'Bye-bye!']]",0
Episode 322: The One With The Screamer," Monica and Rachel's, Phoebe is on the phone, Chandler and Monica are sitting in
the living room, and Ross is in the kitchen as Rachel enters from her bedroom.","[['Monica', 'Joey, what are you doing?! It’s never gonna happen, she’s\nseeing somebody.'], ['Chandler', 'Yeah, and I don’t have any cologne.']]",0
Episode 322: The One With The Screamer," Monica and Rachel's, Monica is getting ready to go to Joey’s premiere and
Phoebe is still on hold.","[['Chandler', '(entering, carrying the chick and duck) Hey! Can you take a duck and a\nchick to the theatre?'], ['Monica', 'Of course not.']]",-1
Episode 322: The One With The Screamer," The Theatre, at the post premiere party. The gang is already there, except
Phoebe. Joey runs in.","[['Chandler', '(seeing Joey) There he is!'], ['Monica', 'There’s our star!']]",0
Episode 322: The One With The Screamer," Central Perk, Chandler and Monica are sitting on the couch, Rachel is on the
chair.","[['Monica', 'We’re kidding!'], ['Chandler', 'Ross, don’t. Ross!']]",0
Episode 323: The One With Ross's Thing," Central Perk, Chandler, Monica, and Joey are there.","[['Monica', ""(starting to get up) I gotta go water Pete's plants. (stops) Y'know\nwhat, if he's gonna break up with me, maybe I won't water his plants.""], ['Chandler', ""Well, if he's gonna break up with you, maybe Joey and I should water\nhis plants. If y'know what I mean.""]]",0
Episode 323: The One With Ross's Thing," Pete's apartment, Monica is there to water the plants, and is showing the gang
around.","[['Monica', ""No-no-no, that's a video-phone. But hey guys you're not supposed to be\nhere, so please, do not touch anything.""], ['Chandler', '(sitting down on the couch) I-kea! This is comfortable.']]",-1
Episode 323: The One With Ross's Thing," Pete's apartment, Monica is there to water the plants, and is showing the gang
around.","[['Monica', ""Okay. Well, it's good news. It's good news.""], ['Chandler', 'So, what do you thing the good news is?']]",0
Episode 323: The One With Ross's Thing," Monica and Rachel's, the gang is returning from Pete’s.","[['Monica', 'Would you stop? We’ve only been going out a couple of weeks, I mean\nwe don’t even know if he’s gonna propose.'], ['Chandler', 'Yes, but this is Pete. Okay? He’s not like other people, on your\nfirst date he took you to Rome. For most guys that’s like a third or fourth date\nkinda thing.'], ['Monica', 'Well if-if that’s what it is, then it’s-it’s crazy.']]",0
Episode 324: The One With The UltimateFighting Championship," Central Perk, the whole gang minus Monica is there.","[['Chandler', 'Do you think that there’s a town in Missouri or some place called\nSample? And ah, as you’re driving into town there’s-there’s like a sign,\nand it says “You’re in Sample.” (He says it like urine sample.)'], ['Monica', '(entering) Hey.']]",0
Episode 324: The One With The UltimateFighting Championship," Central Perk, continued from earlier.","[['Chandler', 'Yeah, it’s two guys in a ring, and the rules are:\n“They’re are no rules.”'], ['Monica', 'So you can like, bite, and pull people’s hair and stuff?']]",0
Episode 324: The One With The UltimateFighting Championship," Monica and Rachel's, Ross is making reservations.","[['Chandler', 'Well, I didn’t do anything. I didn’t want to be the guy who\nhas a problem with his boss slapping his bottom.'], ['Monica', 'I gotta tell ya, I think it’s okay to be that guy.']]",0
Episode 324: The One With The UltimateFighting Championship," Monica and Rachel's, Ross is making reservations.","[['Chandler', ""Yeah, I know, for a really great stew you just y'know, stick your head\nin between ‘em.""], ['Monica', 'Okay, can we please go eat?']]",0
Episode 402: The One With The Cat," Central Perk, Chandler, Joey, Monica, and Ross are there.","[['Monica', 'He is right, isn’t he?'], ['Chandler', ""Y'know what, I think this might be one of the times he’s wrong.""]]",0
Episode 402: The One With The Cat," Chandler and Joey's, Rachel, Phoebe, and Julio are consoling Joey and
Chandler.","[['Monica', '(entering) Oh my God! What happened?'], ['Chandler', 'Oh, umm, Joey was born, and then 28 years later, I was robbed!!']]",0
Episode 403: The One With The 'Cuffs," Central Perk, all except Chandler, are there.","[['Monica', '(in a sexy voice) Hello, Chandler. (Phoebe has a huge smile on\nher face.)'], ['Chandler', '(to Rachel) I love you. (Kisses her on the forehead)']]",1
Episode 404: The One With The Ballroom Dancing," Monica and Rachel's, the gang is there eating breakfast. Chandler is cleaning
out his wallet.","[['Chandler', 'Yeah, it was time. The old condom ring in the leather just\ndoesn’t say ‘cool’ anymore.'], ['Monica', 'Rachel!']]",0
Episode 404: The One With The Ballroom Dancing," Monica and Rachel's, Continued from earlier, Rachel is now telling everyone of
her experience in the garbage room.","[['Monica', '(Picking up a card from Chandler’s wallet.) My God! Is this a gym\ncard?'], ['Chandler', 'Oh yeah, gym member. I try to go four times a week, but I’ve\nmissed the last 1200 times.']]",0
Episode 404: The One With The Ballroom Dancing," Monica and Rachel's, continued from earlier, everyone is still eating
breakfast.","[['Monica', 'Wow! And you got a petticure. Your feet are all dressed up.'], ['Chandler', 'Because that’s the only part of you he can see when he’s on\nthe table!'], ['Monica', 'You’re gonna do some feet flirtin’!']]",0
Episode 404: The One With The Ballroom Dancing," Central Perk, Joey is telling Monica and Rachel what he has to do.","[['Chandler', 'No, I almost did, couldn’t leave Ross there without a spotter!'], ['Monica', 'Wait, now so you joined the gym?']]",0
Episode 404: The One With The Ballroom Dancing," Central Perk, Joey is telling Monica and Rachel what he has to do.","[['Chandler', 'We’re doomed. Okay, they’re gonna take 50 bucks out of our\naccounts for the rest of our lives. What are we gonna do?'], ['Monica', 'Well, you could actually go to the gym.']]",0
Episode 405: The One With Joey's New Girlfriend," Central Perk, the next morning. Chandler, Monica, Ross, and Rachel are there.","[['Chandler', ""Ohh, she's pretty. Pretty ahh, pretty girl, the pretty--she's pretty.""], ['Monica', ""Just go up to her and ask her out. (Chandler laughs) Oh, what's the\nworst thing that could happen?""], ['Chandler', 'I could die.']]",0
Episode 405: The One With Joey's New Girlfriend," Central Perk, the next morning. Chandler, Monica, Ross, and Rachel are there.","[['Chandler', 'Hey! (Phoebe sneezes)'], ['Monica', ""Phoebe! You're sick, you shouldn't play. You should just go home, get in\nbed, and stay there.""]]",0
Episode 405: The One With Joey's New Girlfriend," Central Perk, the next morning. Chandler, Monica, Ross, and Rachel are there.","[['Chandler', ""All right, I'm gonna do it! I'm gonna get shot down. Any advice?""], ['Monica', 'Just be yourself. But, not too much.'], ['Chandler', '(gets up) (softly) Wish me luck.']]",1
Episode 405: The One With Joey's New Girlfriend," Central Perk, the next night, Phoebe is finishing up her set.","[['Monica', ""Y'know what, I like Kathy.""], ['Chandler', ""Oh yeah, me too, she's so cool and pretty.""]]",0
Episode 405: The One With Joey's New Girlfriend," Monica and Rachel's, Phoebe and Monica are there.","[['Chandler', 'All right.'], ['Monica', '(turning around and doing that, ""I\'m making out with someone,""\nthing with her hands) Ooh, umm, oh Kathy! Kathy, I love you! Oh! (She turns around and\nsees Gunther staring at her and stops suddenly.)']]",0
Episode 405: The One With Joey's New Girlfriend," Monica and Rachel's, Ross is telling Monica about his new baby sitting job.","[['Monica', ""Phoebe, you'll catch pneumonia.""], ['Chandler', ""(entering) Okay. You were right. I'm in love with Joey's girlfriend.""]]",0
Episode 405: The One With Joey's New Girlfriend," Monica and Rachel's, Ross is telling Monica about his new baby sitting job.","[['Chandler', ""I don't know. I can't--I just, I can't get her out of my head. Y'know?\nI mean, I'm a very bad person. I'm a very, very bad person. I'm a horrible person. (he\nwaits for a reaction, when he doesn't get one) No you're not Chandler! We still love you\nChandler!""], ['Monica', '(sneezes) Oh gosh, Phoebe, I think I caught your cold.']]",0
Episode 407: The One Where Chandler Crosses the Line," Monica and Rachel's, Ross and Monica are sitting on the couch playing cards,
and Phoebe is working on a new song.","[['Monica', '(At a loss for words) Boy, that was-that was, umm… terrific.'], ['Chandler', 'Really, bitchin’!']]",0
Episode 407: The One Where Chandler Crosses the Line," Central Perk, Rachel and Monica are sitting on the couch and Phoebe is getting
coffee as Chandler enters. Ross is also there.","[['Monica', 'Yeah! Joey has the best boyfriend ever!'], ['Chandler', 'I kissed Kathy.']]",0
Episode 407: The One Where Chandler Crosses the Line," Central Perk, Rachel and Monica are sitting on the couch and Phoebe is getting
coffee as Chandler enters. Ross is also there.","[['Chandler', 'No. Is there anyway, anyway you think he’ll\nunderstand this?'], ['Monica', 'You obviously haven’t screwed over a lot of your friends. (They all\nlook at her) Which we all appreciate.']]",0
Episode 407: The One Where Chandler Crosses the Line," Central Perk, Rachel and Monica are sitting on the couch and Phoebe is getting
coffee as Chandler enters. Ross is also there.","[['Monica', 'He loves you.'], ['Chandler', 'Then why didn’t you tell me to do that?!!']]",0
Episode 407: The One Where Chandler Crosses the Line," Central Perk, Rachel and Monica are sitting on the couch and Phoebe is getting
coffee as Chandler enters. Ross is also there.","[['Monica', 'I remember you did.'], ['Chandler', 'God!! (Sits down in disgust.) What am I gonna do?!']]",0
Episode 408: The One With Chandler In A Box," Monica and Rachel's, everyone but Joey and Chandler are there getting ready for
Thanksgiving.","[['Monica', 'Well, maybe you could give to somebody else. Ooh, like Ross Geller.'], ['Chandler', ""Op, y'know what though, it’s kind’ve a girlie briefcase.""], ['Monica', 'Who cares? He works in a museum!'], ['Chandler', 'Hey, what time is it? The big game is about to start!']]",0
